Hospital,State/ Territory,Remoteness area,Previous peer group,Current peer group,Peer group,lat,lon
Eastern Suburbs Endoscopy Clinic,NSW,Major cities,,,Endoscopy centres,43.6556377,-79.38681079999999
Eastern Suburbs Private Hospital,NSW,Major cities,,,Private rehabilitation hospitals,-33.9103758,151.2458487
Epping Surgery Centre,NSW,Major cities,,,Eye surgery centres,-33.7763163,151.0712679
Figtree Private Hospital,NSW,Major cities,,,Private acute group C hospitals,-34.4395735,150.8510562
Focus Eye Centre,NSW,Major cities,,,Eye surgery centres,43.7094994,-79.65207579999999
Forster Private Hospital,NSW,Inner regional,,,Private acute group C hospitals,-32.1884372,152.5136728
Genea Day Surgery,NSW,Major cities,,,Fertility clinics,43.66905200000001,-79.393501
Genea Liverpool,NSW,Major cities,,,Fertility clinics,-33.9218662,150.9268503
Genea Northwest,NSW,Major cities,,,Fertility clinics,38.9175875,-77.02211059999999
Gosford Private Hospital,NSW,Major cities,,,Private acute group B hospitals,-33.4185805,151.3491156
Hamilton Day Surgery Centre,NSW,Major cities,,,Other specialist day hospitals,43.2311371,-79.8810286
Harley Place Day Surgery,NSW,Major cities,,,Eye surgery centres,43.6450509,-79.385612
Hastings Day Surgery,NSW,Inner regional,,,Endoscopy centres,40.6412418,-98.3833636
Hirondelle Private Hospital,NSW,Major cities,,,Private rehabilitation hospitals,-33.7898838,151.1788444
Holroyd Private Hospital,NSW,Major cities,,,Private acute group D hospitals,-33.8463349,150.9791612
Hunter Valley Private Hospital,NSW,Major cities,,,Private acute group C hospitals,-32.8829796,151.6951292
Hunters Hill Private Hospital,NSW,Major cities,,,Private acute group D hospitals,-33.8351209,151.1502233
Hurstville Private,NSW,Major cities,,,Private acute group D hospitals,-33.9622706,151.0958865
Hyperbaric Health Sydney,NSW,Major cities,,,Hyperbaric health centres,-33.9234805,151.1836918
Inner West Endoscopy Centre,NSW,Major cities,,,Endoscopy centres,43.70555230000001,-79.3964407
Insight Clinic Private Hospital,NSW,Inner regional,,,Private acute group D hospitals,43.8814559,-78.94309919999999
Kareena Private Hospital,NSW,Major cities,,,Private acute group C hospitals,-34.0348021,151.1139379
Kingsgrove Day Hospital,NSW,Major cities,,,Mixed day procedure hospitals,-33.9438258,151.1019901
Lady Davidson Private Hospital,NSW,Major cities,,,Private rehabilitation hospitals,-33.6909305,151.1511172
Lake Macquarie Private Hospital,NSW,Major cities,,,Private acute group B hospitals,-32.9816873,151.6918464
Lawrence Hargrave Private Hospital,NSW,Major cities,,,Private rehabilitation hospitals,-34.3105039,150.9180531
Lindfield Dialysis Clinic,NSW,Major cities,,,Dialysis clinics,43.6587074,-79.38835809999999
Lingard Private Hospital,NSW,Major cities,,,Private acute group C hospitals,-32.9405315,151.7556541
Lismore Private Day Surgery,NSW,Inner regional,,,Mixed day procedure hospitals,-28.80951959999999,153.2927671
Lithgow Community Private Hospital,NSW,Inner regional,,,Private acute group D hospitals,-33.4995364,150.1273143
Liverpool Eye Surgery,NSW,Major cities,,,Eye surgery centres,43.176084,-76.250644
Longueville Private Hospital,NSW,Major cities,,,Private acute group D hospitals,-33.82740709999999,151.1700038
Macquarie St Day Surgery,NSW,Major cities,,,Plastic & reconstructive surgery centres,-33.866998,151.212042
Macquarie University Hospital,NSW,Major cities,,,Private acute group B hospitals,-33.7733137,151.1178846
Maitland Private Hospital,NSW,Major cities,,,Private acute group C hospitals,-32.7653773,151.5978794
Manly Waters Private Hospital,NSW,Major cities,,,Private acute group D hospitals,-33.8049718,151.2844421
Marie Stopes International Newcastle,NSW,Major cities,,,Reproductive health centres,54.9716149,-1.4154209
Marsden Eye Surgery Centre,NSW,Major cities,,,Eye surgery centres,43.76646179999999,-79.471998
Mayo Private Hospital,NSW,Inner regional,,,Private acute group C hospitals,-31.8816919,152.4316149
Metropolitan Rehabilitation Hospital,NSW,Major cities,,,Private rehabilitation hospitals,43.65815,-79.3853725
Metwest Surgical,NSW,Major cities,,,Eye surgery centres,43.67955,-79.340774
Minchinbury Community Private Hospital,NSW,Major cities,,,Private acute group D hospitals,-33.7809748,150.8284106
Miranda Eye Surgical Centre,NSW,Major cities,,,Eye surgery centres,-34.0324222,151.1016343
Mogo Day Surgery,NSW,Inner regional,,,Mixed day procedure hospitals,-35.7832489,150.1437225
Mosman Private Hospital,NSW,Major cities,,,Private acute psychiatric hospitals,-33.8348074,151.2478609
Mt Wilga Private Hospital,NSW,Major cities,,,Private rehabilitation hospitals,-33.6922049,151.0928478
National Day Surgery - Sydney,NSW,Major cities,,,Mixed day procedure hospitals,-33.8916757,151.1834304
Nepean Private Hospital,NSW,Major cities,,,Private acute group C hospitals,-33.7579537,150.7132396
NephroCare Newcastle Dialysis Clinic,NSW,Major cities,,,Dialysis clinics,43.658666,-79.3883688
Newcastle Eye Hospital,NSW,Major cities,,,Eye surgery centres,43.9169384,-78.5915704
Newcastle Private Hospital,NSW,Major cities,,,Private acute group B hospitals,-32.9226502,151.6986629
North Shore Private Hospital,NSW,Major cities,,,Private acute group B hospitals,43.7337181,-79.4193926
North Shore Specialist Day Hospital,NSW,Major cities,,,Mixed day procedure hospitals,-33.82369010000001,151.1871981
Northern Cancer Institute - Frenchs Forest,NSW,Major cities,,,Haematology & oncology clinics,-33.7516869,151.2398983
Northside Clinic Private Hospital,NSW,Major cities,,,Private acute psychiatric hospitals,43.6619166,-79.38566159999999
Northside Cremorne Clinic,NSW,Major cities,,,Private acute psychiatric hospitals,-33.8335526,151.2228635
Northside West Clinic,NSW,Major cities,,,Private acute psychiatric hospitals,43.1201525,-76.1607121
Norwest Private Hospital,NSW,Major cities,,,Private acute group A hospitals,-33.7449926,150.9543577
Nowra Private Hospital,NSW,Inner regional,,,Private acute group D hospitals,-34.8928672,150.6070618
Ophthalmic Surgery Centre (North Shore),NSW,Major cities,,,Eye surgery centres,43.6268348,-79.47898219999999
Oral Surgery Day Centre,NSW,Major cities,,,Oral & maxillofacial surgery centres,43.7632587,-79.4054287
Orange Surgery Centre,NSW,Inner regional,,,Mixed day procedure hospitals,43.7085853,-79.4539964
Pendlebury Clinic Private Hospital,NSW,Major cities,,,Other acute specialised hospitals,-32.9410469,151.6532549
Peninsula Sleep Clinic,NSW,Major cities,,,Sleep centres,43.65757079999999,-79.4013045
Pennant Hills Day Endoscopy Centre,NSW,Major cities,,,Endoscopy centres,-33.7381987,151.0742018
Perfect Vision Eye Surgery,NSW,Major cities,,,Eye surgery centres,43.6533858,-79.3970696
Pittwater Day Surgery,NSW,Major cities,,,Mixed day procedure hospitals,-33.6781837,151.3018462
Port Macquarie Private Hospital,NSW,Inner regional,,,Private acute group D hospitals,-31.44170179999999,152.9093192
President Private Hospital,NSW,Major cities,,,Private acute group D hospitals,-34.036837,151.079568
Prince of Wales Private Hospital,NSW,Major cities,,,Private acute group B hospitals,-33.9192208,151.238589
Randwick Day Surgery,NSW,Major cities,,,Oral & maxillofacial surgery centres,-33.916942,151.2407792
Regional Imaging Cardiovascular Centre,NSW,Inner regional,,,Cardiovascular health centres,43.6663211,-79.3872946
Riverina Cancer Care Centre,NSW,Inner regional,,,Haematology & oncology clinics,-35.1198093,147.3521956
Rosebery Day Surgery,NSW,Major cities,,,Eye surgery centres,-33.9226637,151.2073002
Rosemont Endoscopy Centre,NSW,Major cities,,,Endoscopy centres,43.76629510000001,-79.47213909999999
Shellharbour Private Hospital,NSW,Major cities,,,Private acute group D hospitals,-34.5589631,150.84825
Sight Foundation Theatre,NSW,Major cities,,,Eye surgery centres,43.6640136,-79.3943321
Skin & Cancer Foundation (Westmead) Day Procedure Centre,NSW,Major cities,,,Plastic & reconstructive surgery centres,43.6519447,-79.40867659999999
South Pacific Private Hospital,NSW,Major cities,,,Private acute psychiatric hospitals,43.66751439999999,-79.4320118
South Western Endoscopy Centre,NSW,Major cities,,,Endoscopy centres,43.8438553,-79.56389999999999
Southern Highlands Private Hospital,NSW,Inner regional,,,Private acute group C hospitals,-34.4843745,150.4225837
Southern Medical Day Care Centre,NSW,Major cities,,,Haematology & oncology clinics,43.7548867,-79.45916400000002
Southern Respiratory & Sleep Disorders Centre,NSW,Major cities,,,Sleep centres,43.5998134,-79.59313279999999
Southern Suburbs Day Procedure Centre,NSW,Major cities,,,Plastic & reconstructive surgery centres,-33.9618244,151.1349713
St George Private Hospital,NSW,Major cities,,,Private acute group B hospitals,43.5082385,-79.8606732
St John of God Burwood Hospital,NSW,Major cities,,,Private acute psychiatric hospitals,-33.8699118,151.1002984
St John of God Private Hospital - Richmond,NSW,Major cities,,,Private acute psychiatric hospitals,-33.5937869,150.7019331
St Luke's Hospital,NSW,Major cities,,,Private acute group D hospitals,43.6942971,-79.3285178
St Vincents Private Hospital Lismore,NSW,Inner regional,,,Private acute group C hospitals,-28.8202943,153.2874272
St Vincent's Private Hospital Sydney,NSW,Major cities,,,Private acute group B hospitals,-33.880579,151.2201321
Strathfield Private Hospital,NSW,Major cities,,,Private acute group B hospitals,-33.8719974,151.0978063
Sussex Day Surgery,NSW,Major cities,,,Mixed day procedure hospitals,50.9912104,-0.09206539999999999
Sutherland Heart Clinic,NSW,Major cities,,,Other acute specialised hospitals,35.1154712,-89.8136756
Sydney Adventist Hospital,NSW,Major cities,,,Private acute group A hospitals,-33.7332733,151.0991045
Sydney Clinic for Gastrointestinal Diseases,NSW,Major cities,,,Endoscopy centres,-33.892005,151.247113
Sydney Day Surgery,NSW,Major cities,,,Mixed day procedure hospitals,-33.8916757,151.1834304
Sydney Day Surgery - Prince Alfred,NSW,Major cities,,,Mixed day procedure hospitals,-33.8916757,151.1834304
Sydney ENT & Facial Day Surgery Centre,NSW,Major cities,,,Other specialist day hospitals,-33.878982,151.2177913
Sydney Oculoplastic Surgery,NSW,Major cities,,,Eye surgery centres,-33.8685226,151.2119293
Sydney Retina Clinic & Day Surgery,NSW,Major cities,,,Eye surgery centres,43.6534088,-79.405247
Sydney Southwest Private Hospital,NSW,Major cities,,,Private acute group C hospitals,-33.9172951,150.9282887
Tamara Private Hospital,NSW,Inner regional,,,Private acute group D hospitals,-31.0775494,150.9222197
The Hills Clinic,NSW,Major cities,,,Private acute psychiatric hospitals,43.9136881,-79.4735117
The Hills Private Hospital,NSW,Major cities,,,Private rehabilitation hospitals,43.71810139999999,-79.5109014
The Hornsby Sleep Disorder & Diagnostic Centre,NSW,Major cities,,,Sleep centres,43.6604976,-79.3860586
The Mater,NSW,Major cities,,,Private acute group B hospitals,44.3905912,-79.73988659999999
The Oculoplastics Centre Sydney,NSW,Major cities,,,Mixed day procedure hospitals,-33.7975858,151.186077
The San Day Surgery,NSW,Major cities,,,Mixed day procedure hospitals,43.72186660000001,-79.3755994
The Sydney Clinic,NSW,Major cities,,,Private acute psychiatric hospitals,-33.9015583,151.261006
The Sydney Private Hospital,NSW,Major cities,,,Private acute group D hospitals,-33.8938835,151.1292184
Toronto Private Hospital,NSW,Major cities,,,Private acute group D hospitals,43.8208543,-79.40391939999999
Tweed Day Surgery,NSW,Major cities,,,Mixed day procedure hospitals,-28.1787137,153.5398842
Ulladulla Endoscopy & Medical Centre,NSW,Inner regional,,,Endoscopy centres,-35.3587157,150.4735021
Vision Eye Institute Chatswood,NSW,Major cities,,,Eye surgery centres,-33.795293,151.187377
Vision Eye Institute Hurstville,NSW,Major cities,,,Eye surgery centres,-33.9673467,151.1102677
Vista Laser Eye Clinics NSW,NSW,Major cities,,,Eye surgery centres,-33.795293,151.187377
Wagga Endoscopy Centre,NSW,Inner regional,,,Endoscopy centres,-35.115799,147.365914
Warners Bay Private Hospital,NSW,Major cities,,,Private acute group C hospitals,-32.9651406,151.6400381
Wesley Hospital Ashfield,NSW,Major cities,,,Private acute psychiatric hospitals,-33.8923456,151.1167912
Wesley Hospital Kogarah,NSW,Major cities,,,Private acute psychiatric hospitals,-33.96828480000001,151.1288995
Westmead Private Hospital,NSW,Major cities,,,Private acute group B hospitals,-33.8029433,150.9825031
Westmead Rehabilitation Hospital,NSW,Major cities,,,Private rehabilitation hospitals,-33.8194403,150.9811791
Westmed Centre,NSW,Major cities,,,Mixed day procedure hospitals,41.0314273,-73.7416259
Wollongong Day Surgery,NSW,Major cities,,,Mixed day procedure hospitals,-34.4257403,150.8814111
Wolper Jewish Hospital,NSW,Major cities,,,Private rehabilitation hospitals,-33.8839381,151.2409762
