Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,ACPR_Name,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2021-22 Australian Government Funding
Viewhaven Lodge,71 Laggan Road,,CROOKWELL,NSW,2583,Southern Highlands,Residential,45,,,Crookwell/Taralga Aged Care Ltd,Community Based,Inner Regional Australia,-34.44303068,149.4852611,"$2,520,795.24 "
Bexley Care Centre,82-84 Connemarra Street,,BEXLEY,NSW,2207,South East Sydney,Residential,60,,,Fresh Fields Management (NSW) No 2 Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.95850606,151.1253884,"$4,383,825.47 "
Heritage Queanbeyan,7 Campbell Street,,QUEANBEYAN,NSW,2620,Southern Highlands,Residential,110,,,Heritage Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-35.34804525,149.2293755,"$5,099,230.36 "
Warrigal Care Coniston,91 Bridge Street,,CONISTON,NSW,2500,Illawarra,Residential,60,,,Warrigal Care,Charitable,Major Cities of Australia,-34.43733694,150.878194,"$4,729,170.79 "
SummitCare Liverpool-173,173 Elizabeth Drive,,LIVERPOOL,NSW,2170,South West Sydney,Residential,100,,,Wohl Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.91589994,150.9118317,"$6,587,232.74 "
Homewood Nursing Home,64 Iliffe Street,,BEXLEY,NSW,2207,South East Sydney,Residential,82,,,Homewood Care Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.95412021,151.1124175,"$6,091,582.08 "
Casa Mia Aged Care Centre,28 Alma Road,,PADSTOW,NSW,2211,South West Sydney,Residential,100,,,Christadelphian Homes Limited,Religious,Major Cities of Australia,-33.96179136,151.0382751,"$4,929,338.25 "
Bupa Armidale,112 Brown Street,,ARMIDALE,NSW,2350,New England,Residential,66,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Inner Regional Australia,-30.51893294,151.6657569,"$3,311,546.32 "
Grafton Aged Care Home,12 Bent Street,,GRAFTON,NSW,2460,Far North Coast,Residential,84,,,Fresh Fields Management (NSW) Pty Ltd,Private Incorporated Body,Inner Regional Australia,-29.700511,152.942289,"$4,970,810.92 "
Terrey Hills Nursing Home,42 Booralie Road,,TERREY HILLS,NSW,2084,Northern Sydney,Residential,112,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.67881983,151.2245615,"$7,433,456.64 "
Uniting Osborne Nowra,54-60 Osborne Street,,NOWRA,NSW,2541,Illawarra,Residential,29,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.8750613,150.5992709,"$2,256,180.57 "
Manly Hillside Care Community,4 Austral Avenue,,NORTH MANLY,NSW,2100,Northern Sydney,Residential,35,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.77521568,151.27131,"$2,567,546.17 "
St George Aged Care Centre,3-5 Verdun Street,,BEXLEY,NSW,2207,South East Sydney,Residential,111,,,Marlowe Homes Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.96244052,151.1265429,"$7,782,186.39 "
Columbia Aged Care Services - Strathdale Centre,64-70 Albert Road,,STRATHFIELD,NSW,2135,Inner West,Residential,126,,,Columbia Nursing Homes Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.8714599,151.0903302,"$6,736,279.57 "
Adventist Nursing Home,56 Elsom Street,,KINGS LANGLEY,NSW,2147,Western Sydney,Residential,123,,,Seventh-day Adventist Aged Care (Greater Sydney) Ltd,Private Incorporated Body,Major Cities of Australia,-33.7422721,150.9187513,"$7,374,356.61 "
Guildford Nursing Home,250 Railway Terrace,,GUILDFORD,NSW,2161,Western Sydney,Residential,92,,,Guildford Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.85066489,150.9879828,"$5,092,744.81 "
Canterbury Place Care Community,20 Albert Street,,CAMPSIE,NSW,2194,Inner West,Residential,86,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.91177773,151.0936014,"$7,731,798.61 "
Estia Health Merrylands,42 Cumberland Road,,GREYSTANES,NSW,2145,Western Sydney,Residential,131,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.82892118,150.9482366,"$8,573,695.81 "
Estia Health Bexley Park,3-5 Eddystone Road,,BEXLEY,NSW,2207,South East Sydney,Residential,146,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.94897959,151.1181394,"$11,646,158.50 "
Garden View Nursing Home,124 Paton Street,,MERRYLANDS WEST,NSW,2160,Western Sydney,Residential,55,,,Garden View Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.83379673,150.960062,"$3,179,232.99 "
Rosemore Aged Care,18 Kingsgrove Road,,BELMORE,NSW,2192,Inner West,Residential,78,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.92371579,151.096294,"$5,128,073.06 "
IRT Berala on the Park,13-19 St Johns Avenue,,AUBURN,NSW,2144,Western Sydney,Residential,125,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-33.8729296,151.0235327,"$8,241,405.15 "
Bupa Ashfield,126-128 Frederick Street,,ASHFIELD,NSW,2131,Inner West,Residential,70,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.87922485,151.1245093,"$4,983,125.20 "
Beechwood Aged Care,3-17 Albert Street,,REVESBY,NSW,2212,South West Sydney,Residential,112,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.93935657,151.0162289,"$7,756,544.71 "
Bupa Ashbury,16 Hardy Street,,ASHFIELD,NSW,2131,Inner West,Residential,50,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.90245016,151.1263217,"$3,735,040.47 "
Catholic Healthcare The Haven Residential Aged Care,156 Bourke Street,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Residential,120,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-35.136967,147.351816,"$8,428,867.76 "
Bupa Maroubra,288 Maroubra Road,,MAROUBRA,NSW,2035,South East Sydney,Residential,90,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.94240241,151.2478799,"$5,941,085.47 "
Bupa Greenacre,171 Boronia Road,,GREENACRE,NSW,2190,South West Sydney,Residential,139,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.9041147,151.0434602,"$11,683,345.50 "
Huntingdon Gardens Aged Care Facility,11 Connemarra Street,,BEXLEY,NSW,2207,South East Sydney,Residential,171,,,Huntingdon Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.95542485,151.1322161,"$12,741,783.47 "
Calare Residential Aged Care Facility,124 March Street,,ORANGE,NSW,2800,Central West,Residential,59,,,Allity Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.27994836,149.1004067,"$3,692,560.09 "
Maroubra Shores,770 Anzac Parade,,MAROUBRA,NSW,2035,South East Sydney,Residential,80,,,S.M.M.J.H. Camelot Pty Ltd,Charitable,Major Cities of Australia,-33.93773682,151.2390524,"$3,527,821.01 "
Pendle Hill Residential Aged Care Facility,2 Wyena Road,,PENDLE HILL,NSW,2145,Western Sydney,Residential,84,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.81005582,150.9490199,"$3,618,161.35 "
Weeroona Aged Care Residence,10 Comerford Street,,COWRA,NSW,2794,Central West,Residential,95,,,Halenvy Pty Limited,Private Incorporated Body,Inner Regional Australia,-33.81792809,148.6876148,"$6,299,955.83 "
Uniting Griffith,67 - 71 Erskine Road,,GRIFFITH,NSW,2680,Riverina/Murray,Residential,80,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-34.28902608,146.0264636,"$5,024,018.08 "
Brentwood Residential Aged Care Facility,28 Glebe Street,,PARRAMATTA,NSW,2150,Western Sydney,Residential,82,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.82070279,150.9989253,"$5,324,323.16 "
Manly Vale Nursing Home,61 Gordon Street,,MANLY VALE,NSW,2093,Northern Sydney,Residential,92,,,Manly Vale Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.78198035,151.2682508,"$5,715,111.44 "
Northcourt Nursing Home,7 Saunders Street,,NORTH PARRAMATTA,NSW,2151,Western Sydney,Residential,39,,,Christadelphian Homes Limited,Religious,Major Cities of Australia,-33.79782709,151.0094865,"$2,342,846.49 "
Abbey House Aged Care,300 Range Road,,MITTAGONG,NSW,2575,South West Sydney,Residential,143,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,-34.474945,150.467126,"$10,570,282.84 "
Dorothy Boyt House,31 Raglan Street,,MALABAR,NSW,2036,South East Sydney,Residential,62,,,Anglican Community Services,Religious,Major Cities of Australia,-33.96650488,151.2490597,"$4,367,337.54 "
Uniting Bowden Brae Normanhurst,1-7 Frith Avenue,,NORMANHURST,NSW,2076,Northern Sydney,Residential,106,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.72077741,151.103908,"$7,872,604.97 "
IRT Tarrawanna Care Centre,74-80 Caldwell Avenue,,TARRAWANNA,NSW,2518,Illawarra,Residential,100,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-34.38134178,150.8868496,"$7,159,242.01 "
Coffs Harbour Legacy Nursing Home,55 Victoria Street,,COFFS HARBOUR,NSW,2450,Mid North Coast,Residential,49,,,Coffs Harbour Legacy Welfare Fund,Community Based,Inner Regional Australia,-30.30592783,153.126492,"$3,621,363.26 "
Jean Ross House,189 Old Southern Road,,SOUTH NOWRA,NSW,2541,Illawarra,Residential,64,,,Anglican Community Services,Religious,Inner Regional Australia,-34.902942,150.6110525,"$4,627,638.10 "
Uniting Wesley Gardens Belrose,2b Morgan Road,,BELROSE,NSW,2085,Northern Sydney,Residential,140,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.7232747,151.2192574,"$9,827,936.30 "
Yallaroo,1 Stafford Road,,ALBURY,NSW,2640,Riverina/Murray,Residential,60,,,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,-36.072614,146.883555,"$4,574,126.93 "
Mildred Symons House,15 Lenna Place,,JANNALI,NSW,2226,South East Sydney,Residential,127,,,Anglican Community Services,Religious,Major Cities of Australia,-34.02108491,151.0654177,"$8,034,810.60 "
Bowral House Nursing Home,87-89 Kangaloon Road,,BOWRAL,NSW,2576,South West Sydney,Residential,71,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,-34.49211212,150.4215084,"$4,439,010.44 "
Whiddon Moree NH,Victoria Terrace,,MOREE,NSW,2400,New England,Residential,57,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-29.469656,149.839234,"$3,007,371.21 "
William Beech Gardens - Bushmaster,1 Madline Street,,CONDOBOLIN,NSW,2877,Central West,Residential,37,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-33.08173415,147.1522513,"$2,298,945.49 "
Strathearn Village High Care Facility,2-4 Stafford Street,,SCONE,NSW,2337,Hunter,Residential,80,,,HammondCare,Charitable,Inner Regional Australia,-32.051022,150.877636,"$2,005,456.77 "
Uniting Wesley Heights Manly,47 Birkley Road,,MANLY,NSW,2095,Northern Sydney,Residential,121,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.79413224,151.2804027,"$5,628,814.53 "
Scalabrini Village Nursing Home (Austral),65 Edmondson Avenue,,AUSTRAL,NSW,2179,South West Sydney,Residential,172,,,Scalabrini Village Ltd,Religious,Major Cities of Australia,-33.94623711,150.8112429,"$9,948,769.25 "
Hillgrove House,24 Hill Street,,BEGA,NSW,2550,Southern Highlands,Residential,95,,,Sapphire Coast Community Aged Care Ltd,Community Based,Outer Regional Australia,-36.675623,149.837984,"$6,195,018.70 "
Harbison Burradoo,2 Charlotte Street,,BURRADOO,NSW,2576,South West Sydney,Residential,148,,,Harbison Memorial Retirement Village,Community Based,Inner Regional Australia,-34.505818,150.407969,"$10,201,827.22 "
Dubbo Homestead Care Community,80 Muller Street,,DUBBO,NSW,2830,Orana Far West,Residential,80,,,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-32.23775686,148.6203627,"$3,927,036.47 "
Shoalhaven Place Care Community,43 Brinawarr Street,,BOMADERRY,NSW,2541,Illawarra,Residential,63,,,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-34.85193663,150.6028467,"$4,317,467.93 "
IRT Woonona,6 Popes Road,,WOONONA,NSW,2517,Illawarra,Residential,201,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-34.34174654,150.9034553,"$12,003,687.47 "
Bathurst Riverview Care Community,93 Stanley Street,,BATHURST,NSW,2795,Central West,Residential,158,,,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.406735,149.579578,"$11,598,053.61 "
Mercy Place Albury,578 Poole Street,,ALBURY,NSW,2640,Riverina/Murray,Residential,120,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-36.06983729,146.9156184,"$7,736,273.87 "
Piper House,4 Lindsay Evans Place,,DAPTO,NSW,2530,Illawarra,Residential,89,,,Anglican Community Services,Religious,Major Cities of Australia,-34.512668,150.783926,"$3,762,421.65 "
Norah Head Care Community,63 Palomar Parade,,TOUKLEY,NSW,2263,Central Coast,Residential,78,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.25788635,151.5502568,"$3,653,053.76 "
Adelene Nursing Home,1 Birch Road,,WYOMING,NSW,2250,Central Coast,Residential,71,,,Central Coast Community Care Association Limited,Charitable,Major Cities of Australia,-33.410581,151.365529,"$3,783,493.61 "
Narrandera Homestead Care Community,54 Lethbridge Drive,,NARRANDERA,NSW,2700,Riverina/Murray,Residential,66,,,DPG Services Pty Ltd,Private Incorporated Body,Outer Regional Australia,-34.742157,146.567865,"$3,943,860.08 "
Catholic Healthcare Lewisham Nursing Home,1B Thomas Street,,LEWISHAM,NSW,2049,Inner West,Residential,56,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.89179759,151.1480718,"$3,774,682.64 "
Uniting Narla Belmont North,21 Lentara Road,,BELMONT NORTH,NSW,2280,Hunter,Residential,60,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.02256615,151.6582985,"$2,934,723.50 "
The Whiddon Group - Narrabri - Jessie Hunt,84 Gibbons Street,,NARRABRI,NSW,2390,New England,Residential,57,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-30.32478781,149.7759359,"$3,176,003.83 "
Bupa Kempsey,71-97 Cochrane Street,,WEST KEMPSEY,NSW,2440,Mid North Coast,Residential,82,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Inner Regional Australia,-31.06278925,152.8311329,"$5,253,667.58 "
Uniting Nareen Gardens Bateau Bay,5 Yakalla Street,,BATEAU BAY,NSW,2261,Central Coast,Residential,100,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.37428044,151.4793683,"$7,348,295.95 "
Florence Price Gardens,"Unit 7, 7 Hackett Lane",,BALLINA,NSW,2478,Far North Coast,Residential,120,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-28.86695,153.570617,"$8,201,075.61 "
Estia Health Figtree,12 Suttor Place,,FIGTREE,NSW,2525,Illawarra,Residential,120,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.43924202,150.8496643,"$6,922,289.77 "
Aurrum Wyoming,80 Chamberlain Road,,WYOMING,NSW,2250,Central Coast,Residential,60,,,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.39890621,151.3667201,"$4,302,805.85 "
The Whiddon Group - Grafton,125 Crown Street,,GRAFTON,NSW,2460,Far North Coast,Residential,112,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-29.67613866,152.9454931,"$8,497,064.69 "
Uniting Gerringong,33 Greta Street,,GERRINGONG,NSW,2534,Illawarra,Residential,100,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.74737134,150.8225316,"$7,020,965.83 "
Mareeba Aged Care,6 Rannoch Avenue,,MACLEAN,NSW,2463,Far North Coast,Residential,119,,,MacLean Valley Nursing Home Pty Limited,Private Incorporated Body,Inner Regional Australia,-29.45075232,153.2020358,"$7,397,860.36 "
Uniting Tumut,112 Lambie Street,,TUMUT,NSW,2720,Riverina/Murray,Residential,99,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-35.31301261,148.2220086,"$5,373,755.07 "
Sir William Hudson Memorial Centre,8 Fachin Avenue,,COOMA,NSW,2630,Southern Highlands,Residential,72,,,Sir William Hudson Memorial Centre,Community Based,Inner Regional Australia,-36.2424564,149.1195702,"$4,171,620.03 "
Quakers Hillside Care Community,35 Hambledon Road,,QUAKERS HILL,NSW,2763,Western Sydney,Residential,127,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.71950067,150.8915724,"$11,440,991.39 "
Kurrajong & District Community Nursing Home,129 Old Bells Line Of Road,,KURRAJONG,NSW,2758,Nepean,Residential,30,,,Kurrajong and District Hospital Society Inc,Community Based,Inner Regional Australia,-33.55391004,150.6630012,"$2,016,164.51 "
Karingal Gardens,9 Bligh Street,,TAREE,NSW,2430,Mid North Coast,Residential,100,,,Bushland Health Group Limited,Community Based,Inner Regional Australia,-31.89900926,152.4873485,"$6,545,166.09 "
Uniting Garden Suburb,7 Myall Road,,GARDEN SUBURB,NSW,2289,Hunter,Residential,85,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-32.94934206,151.6830514,"$6,728,977.68 "
Lilliane Brady Village Nursing Home,2 Nullamut Street,,COBAR,NSW,2835,Orana Far West,Residential,19,,,Cobar Shire Council,Local Government,Remote Australia,-31.50705334,145.8255073,"$1,264,303.61 "
Cooinda Nursing Home,12-14 Neate Street,,COONABARABRAN,NSW,2357,Orana Far West,Residential,41,,,Cooinda Coonabarabran Ltd,Community Based,Outer Regional Australia,-31.27287689,149.2865973,"$2,499,786.74 "
Uniting Edinglassie Emu Plains,5-7 Emerald Street,,EMU PLAINS,NSW,2750,Nepean,Residential,100,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.75424052,150.6582957,"$5,400,670.11 "
Bossley Parkside Care Community,56 Quarry Road,,BOSSLEY PARK,NSW,2176,South West Sydney,Residential,100,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.85742143,150.8858082,"$8,146,380.92 "
IRT Sarah Claydon,130 Princes Highway,,MILTON,NSW,2538,Illawarra,Residential,141,,,Illawarra Retirement Trust,Community Based,Inner Regional Australia,-35.31835108,150.4424254,"$7,737,213.54 "
Patrick Bugden VC Gardens,184 Broken Head Road,,SUFFOLK PARK,NSW,2481,Far North Coast,Residential,66,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-28.68660729,153.6073618,"$4,890,113.32 "
St Andrew's Village Ballina,59 Bentinck Street,,BALLINA,NSW,2478,Far North Coast,Residential,123,,,St Andrew's Village Ballina Limited,Community Based,Inner Regional Australia,-28.86353675,153.563454,"$7,741,388.18 "
Catholic Healthcare Gertrude Abbott Aged Care,180 Albion Street,,DARLINGHURST,NSW,2010,South East Sydney,Residential,100,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.883771,151.215982,"$7,538,487.04 "
Maitland Grange Care Community,28 Broughton Street,,RUTHERFORD,NSW,2320,Hunter,Residential,80,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.70994399,151.5255289,"$5,961,520.56 "
St Lukes Nursing Home,73 Roslyn Gardens,,ELIZABETH BAY,NSW,2011,South East Sydney,Residential,154,,,St Luke's Care,Religious,Major Cities of Australia,-33.874554,151.226479,"$6,647,909.43 "
Murrayvale Aged Care,63 Regent Street,,MOAMA,NSW,2731,Riverina/Murray,Residential,50,,,Domacwa Holdings Pty Ltd,Private Incorporated Body,Inner Regional Australia,-36.10485374,144.7614433,"$3,768,664.19 "
Mudgee Grove Care Community,3 Menchin Street,,MUDGEE,NSW,2850,Orana Far West,Residential,42,,,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-32.59199478,149.571763,"$3,187,030.80 "
Murwillumbah Greens Care Community,Ingram Place,,MURWILLUMBAH,NSW,2484,Far North Coast,Residential,86,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-28.33719576,153.3674737,"$6,365,142.23 "
Uniting McKay House Tamworth,1 Tribe Street,,TAMWORTH,NSW,2340,New England,Residential,61,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.07185098,150.9180858,"$5,009,377.98 "
Crowley Retirement Village,154 Cherry Street,,BALLINA,NSW,2478,Far North Coast,Residential,80,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-28.85368951,153.5693841,"$4,652,582.05 "
Uniting Kingscliff,24 A Kingscliff Street,,KINGSCLIFF,NSW,2487,Far North Coast,Residential,112,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-28.25069454,153.5701663,"$6,484,360.20 "
Garden Village,7 Garden Crescent,,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,142,,,Garden Village Port Macquarie,Charitable,Inner Regional Australia,-31.433856,152.896989,"$8,600,547.93 "
IRT Dalmeny,4 Ruth Place,,DALMENY,NSW,2546,Southern Highlands,Residential,54,,,Illawarra Retirement Trust,Community Based,Outer Regional Australia,-36.16733209,150.1085019,"$2,830,482.17 "
The Whiddon Group - Casino,11 Gitana Street,,CASINO,NSW,2470,Far North Coast,Residential,64,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-28.859241,153.035194,"$4,475,267.01 "
Bethany Aged Care Plus Centre,2-6 Gray Street,,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,83,,,The Salvation Army (NSW) Property Trust,Charitable,Inner Regional Australia,-31.43668317,152.9146412,"$4,552,677.28 "
Eloura,10 Tebbutt Street,,QUIRINDI,NSW,2343,New England,Residential,68,,,Quirindi Care Services Limited,Community Based,Outer Regional Australia,-31.50065749,150.6775229,"$4,666,586.56 "
Green Hills Residential Care Service,7 Martin Close,,EAST MAITLAND,NSW,2323,Hunter,Residential,111,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-32.76599596,151.5901962,"$3,676,297.51 "
Estia Health Tuncurry,4 Bonventi Close,,TUNCURRY,NSW,2428,Mid North Coast,Residential,124,,,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,-32.17480871,152.4915236,"$9,872,492.35 "
Mary Potter Nursing Home,6 Lewisham Avenue,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Residential,80,,,The Mary Potter Nursing Home and The Ethel Forrest Day Care Centre Pty Ltd,Religious,Inner Regional Australia,-35.1197725,147.3544083,"$5,522,205.12 "
Harbourside Haven Nursing Home and Hostel,89 Shoal Bay Road,,SHOAL BAY,NSW,2315,Hunter,Residential,151,,,Port Stephens Veterans and Citizens Aged Care Ltd,Community Based,Inner Regional Australia,-32.71904188,152.1666971,"$8,153,232.04 "
St Vincent's Care Services Heathcote,15 The Avenue,,HEATHCOTE,NSW,2233,South East Sydney,Residential,213,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-34.07954422,151.0140849,"$12,966,510.55 "
Imlay House,3 Merigan Street,,PAMBULA,NSW,2549,Southern Highlands,Residential,73,,,Sapphire Coast Community Aged Care Ltd,Community Based,Outer Regional Australia,-36.92739904,149.8793441,"$4,638,731.97 "
RFBI Moonbi Masonic Village - Moonby,New England Highway,,KOOTINGAL,NSW,2352,New England,Residential,34,,,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,-31.063154,151.039599,"$2,871,436.94 "
Regis Hornsby,245-247 Peats Ferry Road,,HORNSBY,NSW,2077,Northern Sydney,Residential,76,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.69407407,151.0980437,"$4,685,857.67 "
Cootamundra Nursing Home,121 Mackay Street,,COOTAMUNDRA,NSW,2590,Riverina/Murray,Residential,62,,,Cootamundra Health Care Co-operative Limited,Community Based,Inner Regional Australia,-34.63391,148.0143,"$4,517,058.15 "
Navorina Nursing Home,5-9 Macauley Street,,DENILIQUIN,NSW,2710,Riverina/Murray,Residential,60,,,The Deniliquin Nursing Home Foundation Ltd,Community Based,Inner Regional Australia,-35.52272012,144.9626545,"$3,440,021.72 "
Carino Care at Russell Lea,72-74 Russell Street,,RUSSELL LEA,NSW,2046,Inner West,Residential,42,,,Carino Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.85846518,151.1361738,"$2,847,981.34 "
Killara Glades Care Community,95 Stanhope Road,,KILLARA,NSW,2071,Northern Sydney,Residential,83,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.76698273,151.1746037,"$4,816,395.94 "
Scalabrini Village Griffith,650 Oakes Road,,YOOGALI,NSW,2680,Riverina/Murray,Residential,90,,,Scalabrini Village Ltd,Religious,Outer Regional Australia,-34.30083517,146.077599,"$6,525,383.60 "
RFBI Bellingen Masonic Village,22 Church Street,,BELLINGEN,NSW,2454,Mid North Coast,Residential,30,,,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,-30.45563692,152.8957275,"$2,346,616.06 "
Heritage Pennant Hills,2a The Crescent,,PENNANT HILLS,NSW,2120,Northern Sydney,Residential,41,,,Heritage Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.739009,151.072406,"$3,695,231.35 "
IRT Culburra Beach,976 Culburra Road,,CULBURRA BEACH,NSW,2540,Illawarra,Residential,40,,,Illawarra Retirement Trust,Community Based,Inner Regional Australia,-34.93299018,150.7531682,"$2,654,734.31 "
Yeoval Community Nursing Home,1 Lord Street,,YEOVAL,NSW,2868,Orana Far West,Residential,8,,,United Protestant Association of NSW Limited,Charitable,Outer Regional Australia,-32.75028137,148.6504726,"$757,254.33 "
Finley Regional Care,26 Dawe Avenue,,FINLEY,NSW,2713,Riverina/Murray,Residential,75,,,Finley Regional Care Ltd,Community Based,Inner Regional Australia,-35.641131,145.566853,"$5,438,878.76 "
Aurrum Kincumber,1 A SCAYSBROOK DRIVE,,KINCUMBER,NSW,2251,Central Coast,Residential,85,,,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.47161,151.405621,"$5,597,069.19 "
Seven Hills Nursing Home,1 Crews Road,,SEVEN HILLS,NSW,2147,Western Sydney,Residential,104,,,Seven Hills Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.76080163,150.9491432,"$6,637,211.65 "
Cooinda,Short Street,,LITHGOW,NSW,2790,Central West,Residential,83,,,Respect Group Limited,Charitable,Inner Regional Australia,-33.483109,150.16111,"$5,555,650.72 "
McLean Care Mackellar Apex Campus,2 Apex Road,,GUNNEDAH,NSW,2380,New England,Residential,79,,,McLean Care Ltd,Charitable,Outer Regional Australia,-30.992352,150.258172,"$5,192,443.31 "
Uniting Lillian Wells North Parramatta,2b Fennell Street,,PARRAMATTA,NSW,2150,Western Sydney,Residential,72,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.8046635,151.0017835,"$6,186,994.92 "
Scalabrini Village Chipping Norton,199 Epsom Road,,CHIPPING NORTON,NSW,2170,South West Sydney,Residential,152,,,Scalabrini Village Ltd,Religious,Major Cities of Australia,-33.922395,150.95127,"$11,307,083.04 "
